Date,Open,High,Low,Close,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Volume,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
12-Nov-21,77725,78299.95,77300,78194.05,77831.29655,290,215,22571076,96,33.1,999.95,469.05
15-Nov-21,78700,78879.65,77711.95,78458.25,78407.74028,797,607,62490969,385,48.31,1167.7,-241.75
16-Nov-21,78863.95,79448.15,78190.8,78459.2,78874.36218,312,234,24608801,73,23.4,1257.35,-404.75
17-Nov-21,78850,79450,78594.55,79340.9,79232.59164,622,486,49282672,444,71.38,855.45,490.9
18-Nov-21,79500,79998.5,77310,77532.75,78051.49746,394,296,30752290,208,52.79,2688.5,-1967.25
22-Nov-21,77600,77989.95,75040.1,75664.3,76110.45015,973,750,74055468,473,48.61,2949.85,-1935.7
23-Nov-21,75949,76789.55,75075.2,76468.8,76389.18197,1220,396,93194802,829,67.95,1714.35,519.8
24-Nov-21,76790,77448.95,76089,76464.9,76954.69737,304,217,23394228,100,32.89,1359.95,-325.1
25-Nov-21,76599,76646.4,75265.65,75658.45,75749.18006,361,271,27345454,147,40.72,1380.75,-940.55
26-Nov-21,75830,75830,74555.05,75171.1,74963.49903,517,356,38756129,230,44.49,1274.95,-658.9
29-Nov-21,75100,75100,73111,73802.35,73898.31325,332,247,24534240,172,51.81,1989,-1297.65
30-Nov-21,73690,75999.8,73690,75015.65,74810.56088,501,309,37480091,103,20.56,2309.8,1325.65
01-Dec-21,75000.1,75323.15,73550,73785.55,74084.23228,508,397,37634790,207,40.75,1773.15,-1214.55
02-Dec-21,74299,74299,73250,73895.8,73745.05473,603,425,44468268,211,34.99,1049,-403.2
03-Dec-21,74237.45,74700,73772.25,73938.65,74245.81733,531,366,39424529,236,44.44,927.75,-298.8
06-Dec-21,73801,74056.2,73000,73260.75,73494.37888,483,353,35497785,189,39.13,1056.2,-540.25
07-Dec-21,73300.05,73882,73300.05,73593.35,73657.36697,218,169,16057306,91,41.74,581.95,293.3
08-Dec-21,73800,75199,73800,74664.6,74598.60284,282,217,21036806,92,32.62,1399,864.6
09-Dec-21,75080,75339.2,74150,74644.2,74541.32982,285,226,21244279,111,38.95,1189.2,-435.8
10-Dec-21,74668.55,74950,74012.15,74270.65,74348.71579,285,167,21189384,112,39.3,937.85,-397.9
13-Dec-21,74500,75100,73650.8,73819.75,74339.75154,487,334,36203459,224,46,1449.2,-680.25
14-Dec-21,73280.05,74199.8,73280.05,74055,73936.01818,220,171,16265924,113,51.36,919.75,774.95
15-Dec-21,74189.95,74500,73820,73951.5,74087.07471,174,118,12891151,63,36.21,680,-238.45
16-Dec-21,74337.3,74382,73165,73335.2,73537.42623,244,173,17943132,110,45.08,1217,-1002.1
17-Dec-21,73780,73780,72102.35,72560,72579.20677,532,420,38612138,245,46.05,1677.65,-1220
20-Dec-21,72599,72599,68719.9,69973.7,69748.19394,1418,1106,98902939,788,55.57,3879.1,-2625.3
21-Dec-21,70840,71157.6,69954.85,70454.55,70573.08704,540,417,38109467,166,30.74,1202.75,-385.45
22-Dec-21,70550,71280.2,70320.15,70535.6,70820.79866,298,229,21104598,101,33.89,960.05,-14.4
23-Dec-21,71079.95,71400.4,70750.05,71040.6,71035.46083,217,162,15414695,57,26.27,650.35,-39.35
24-Dec-21,71350,71392.1,69930,70056,70223.96781,497,335,34901312,276,55.53,1462.1,-1294
27-Dec-21,70091.4,70692.1,69300,70469.7,70108.40409,391,252,27412386,177,45.27,1392.1,378.3
28-Dec-21,70750,71994.8,70683.15,71579.05,71272.6895,219,170,15608719,89,40.64,1311.65,829.05
29-Dec-21,71197.1,72678.85,71197.1,72569.5,72097.28674,279,215,20115143,91,32.62,1481.75,1372.4
30-Dec-21,72782.9,72782.9,71889.9,72139.95,72405.4505,202,185,14625901,103,50.99,893,-642.95
31-Dec-21,72394,73699.95,72224.6,73293.55,73060.39286,476,379,34776747,295,61.97,1475.35,899.55
03-Jan-22,73500,73943.1,73089.1,73374,73572.42929,198,153,14567341,78,39.39,854,-126
04-Jan-22,73937.95,73998,73351,73929,73780.52449,490,374,36152457,213,43.47,647,-8.95
05-Jan-22,74100,74400,73774.75,74030.15,74100.20915,153,119,11337332,60,39.22,625.25,-69.85
06-Jan-22,74150,74385.25,73209.9,74133.65,73849.68639,169,135,12480597,44,26.04,1175.35,-16.35
07-Jan-22,74449.95,74633.5,73560.9,74186.75,74086.2549,153,116,11335197,51,33.33,1072.6,-263.2
10-Jan-22,74439.05,74950,74136.75,74288.35,74484.7644,191,133,14226590,86,45.03,813.25,-150.7
11-Jan-22,74424.95,74469.9,73900.1,74273.35,74149.05405,333,238,24691635,160,48.05,569.8,-151.6
12-Jan-22,74425,75484.85,74315,75254.1,75012.86256,211,156,15827714,135,63.98,1169.85,829.1
13-Jan-22,75533.35,76380.5,74987.8,75975.15,75743.66114,422,331,31963825,173,41,1392.7,441.8
14-Jan-22,75790.55,76250,75351.2,76130.3,75880.36073,219,143,16617799,82,37.44,898.8,339.75
17-Jan-22,75857.85,77193.6,75857.85,76853.4,76666.80723,249,178,19090035,107,42.97,1335.75,995.55
18-Jan-22,76810,77255.75,76132.55,76325.7,76778.7978,455,345,34934353,262,57.58,1123.2,-484.3
19-Jan-22,76224,76724,75565.1,76547.05,76038.07664,274,225,20834433,173,63.14,1158.9,323.05
20-Jan-22,75898.1,75966.05,73539.65,73787.3,74064.51209,910,655,67398706,416,45.71,2426.4,-2110.8
21-Jan-22,73481.95,74700,72006.25,72727.85,73365.7818,802,588,58839357,269,33.54,2693.75,-754.1
24-Jan-22,72850,72850,70007,71103.25,71162.81041,749,530,53300945,253,33.78,2843,-1746.75
25-Jan-22,71339.65,72299.8,69900,70577.2,70976.75732,820,609,58200941,257,31.34,2399.8,-762.45
27-Jan-22,70500,71000,69500,70708.95,70144.47511,663,522,46505787,283,42.68,1500,208.95
28-Jan-22,71030,72819.9,71030,71385.45,71995.2803,264,215,19006754,95,35.98,1789.9,355.45
31-Jan-22,71985.45,72460,71348.7,72181.5,72048.89443,341,299,24568673,140,41.06,1111.3,196.05
01-Feb-22,72746.95,72746.95,71288.75,71506.9,71900.14189,444,356,31923663,149,33.56,1458.2,-1240.05
02-Feb-22,71899.95,72679.1,71234,71521.55,71778.2827,237,190,17011453,102,43.04,1445.1,-378.4
03-Feb-22,70499.95,71931.05,70010,70993.4,71165.80892,785,589,55865160,172,21.91,1921.05,493.45
04-Feb-22,71000,71403.5,69850,70052.25,70316.11494,696,554,48940016,354,50.86,1553.5,-947.75
07-Feb-22,70191,70269.1,68634.8,68905.6,69302.83453,979,775,67847475,479,48.93,1634.3,-1285.4
08-Feb-22,69010.1,69886.75,68500,69548.8,69260.42857,644,518,44603716,216,33.54,1386.75,538.7
09-Feb-22,70046.95,70500,69530.15,70405.6,70127.70909,440,356,30856192,191,43.41,969.85,358.65
10-Feb-22,70500,70899.95,69520.1,69785.3,69986.89157,249,212,17426736,82,32.93,1379.85,-714.7
11-Feb-22,69125,69600,68100,68265.65,68706.62423,809,697,55583659,434,53.65,1500,-859.35
14-Feb-22,67850,67850,65700.5,65937.65,66293.0383,1462,1147,96920422,638,43.64,2149.5,-1912.35
15-Feb-22,66120,66990.75,65005.15,66672.25,66045.57853,885,758,58450337,263,29.72,1985.6,552.25
16-Feb-22,67646.95,67646.95,66001.2,66110.8,66609.35049,408,338,27176615,196,48.04,1645.75,-1536.15
17-Feb-22,66100,66678.2,65500,65648.3,65862.37025,316,284,20812509,131,41.46,1178.2,-451.7
18-Feb-22,65477,66200,65329.1,65612.5,65572.33842,393,347,25769929,168,42.75,870.9,135.5
21-Feb-22,65210.15,65469.95,64600,64752.8,64991.74854,342,304,22227178,123,35.96,869.95,-457.35
22-Feb-22,63400,65972.4,63000.05,65778.9,64680.14978,908,700,58729576,386,42.51,2972.35,2378.9
23-Feb-22,66299.95,66853,65650.25,65812.85,66178.64692,439,382,29052426,171,38.95,1202.75,-487.1
24-Feb-22,63500,65227.65,62944.5,64007.8,63997.8288,1361,1123,87101045,487,35.78,2283.15,507.8
25-Feb-22,64007.8,65782.35,64007.8,65511.25,65055.34225,748,602,48661396,219,29.28,1774.55,1503.45
28-Feb-22,65700,66289.6,64500,65715.8,65504.97101,345,279,22599215,82,23.77,1789.6,15.8
02-Mar-22,65880,66600.05,65307.95,66201.55,66118.06441,295,224,19504829,116,39.32,1292.1,321.55
03-Mar-22,66608.9,66999.9,65800,66088.25,66163.88129,278,172,18393559,110,39.57,1199.9,-520.65
04-Mar-22,65500.05,66163.9,65000,66013.7,65652.74545,385,282,25276307,220,57.14,1163.9,513.65
07-Mar-22,64500,66440.25,63800.05,66115.05,65324.71741,1097,566,71661215,633,57.7,2640.2,1615.05
08-Mar-22,66120,66627.25,65800,66340.3,66169.27928,222,171,14689580,85,38.29,827.25,220.3
09-Mar-22,66564.2,66940.9,65957.9,66087.35,66536.15468,278,209,18497051,88,31.65,983,-476.85
10-Mar-22,66850,67464.65,66504,66862.75,66956.91818,330,233,22095783,116,35.15,960.65,12.75
11-Mar-22,66980,68000,66410.2,67919.2,67378.10396,202,167,13610377,108,53.47,1589.8,939.2
14-Mar-22,68100,68458.85,67412.1,68237.35,67911.06522,368,292,24991272,185,50.27,1046.75,137.35
15-Mar-22,68238.85,68958.95,67718.65,68107.65,68344.78947,323,244,22075367,89,27.55,1240.3,-131.2
16-Mar-22,68310,68800,68145.1,68343.4,68502.23759,282,206,19317631,155,54.96,654.9,33.4
17-Mar-22,68634.95,69898.05,68620,68986,69368.76812,345,238,23932225,164,47.54,1278.05,351.05
21-Mar-22,69479.85,69922.6,66650.25,67010.85,67876.05046,654,501,44390937,229,35.02,3272.35,-2469
22-Mar-22,67399,67399,65965.8,67128.5,66689.99162,597,407,39813925,176,29.48,1433.2,-270.5
23-Mar-22,67399.95,67724,66619,66833.6,67173.81686,344,274,23107793,139,40.41,1105,-566.35
24-Mar-22,66741.4,67400,66446.05,66784.1,67027.31395,172,119,11528698,55,31.98,953.95,42.7
25-Mar-22,66989.95,67151.15,66005,66485.6,66519.8942,293,227,19490329,122,41.64,1146.15,-504.35
28-Mar-22,67300,67300,64974,65724.1,65490.01711,526,331,34447749,268,50.95,2326,-1575.9
29-Mar-22,65600,66850,65100,65325.9,65992.59799,597,449,39397581,276,46.23,1750,-274.1
30-Mar-22,65450.15,65925.9,65144.8,65384.45,65594.25581,688,443,45128848,306,44.48,781.1,-65.7
31-Mar-22,65384.45,65800,64661.5,64973.35,65164.22418,852,604,55519919,380,44.6,1138.5,-411.1
01-Apr-22,65313.95,66600,65085.5,66360.35,65964.436,250,174,16491109,117,46.8,1514.5,1046.4
04-Apr-22,67000,67200,66682.2,66989.95,66959.57525,299,176,20020913,154,51.5,517.8,-10.05
05-Apr-22,67499.9,68127,67300,67632.2,67758.15636,275,197,18633493,128,46.55,827,132.3
06-Apr-22,67946.95,67946.95,67200.2,67596.05,67620.4403,134,110,9061139,54,40.3,746.75,-350.9
07-Apr-22,67984.95,68050.55,67000,67196.35,67498.02899,138,121,9314728,60,43.48,1050.55,-788.6
08-Apr-22,67574.95,68100,66800,67763.15,67537.8945,436,346,29446522,209,47.94,1300,188.2
11-Apr-22,67761,68027.75,67611.3,67738.1,67789.74138,116,71,7863610,62,53.45,416.45,-22.9
12-Apr-22,67606.15,67951.6,66607.35,67541.55,67247.61864,236,205,15870438,73,30.93,1344.25,-64.6
13-Apr-22,68140,68140,67046.1,67458.6,67672.9527,148,99,10015597,67,45.27,1093.9,-681.4
18-Apr-22,67001.05,67461,66090.5,66986.6,66913.66667,249,203,16661503,120,48.19,1370.5,-14.45
19-Apr-22,67079,67751.5,65800,66193.05,67148.84881,377,284,25315116,198,52.52,1951.5,-885.95
20-Apr-22,66765,68201.7,66639.05,67734.4,67634.20956,272,218,18396505,104,38.24,1562.65,969.4
21-Apr-22,67880,70081.6,67880,69680.6,68864.20561,856,657,58947760,598,69.86,2201.6,1800.6
22-Apr-22,69400,69430.4,68519.35,69132.4,69072.65044,226,149,15610419,114,50.44,911.05,-267.6
25-Apr-22,68280,69450,68280,69110,68875.63889,144,118,9918092,54,37.5,1170,830
