Balance,step,profit,net_worth
100000.0,27,0.0,100000.0
100000.0,28,0.0,100000.0
100000.0,29,0.0,100000.0
0.0,30,0.0,100000.0
0.0,31,1158.3666113312647,101158.36661133126
0.0,32,2946.369285812223,102946.36928581222
0.0,33,3714.9641427561437,103714.96414275614
0.0,34,4146.4664685975,104146.4664685975
0.0,35,4042.0086895207496,104042.00868952075
0.0,36,3886.326494941066,103886.32649494107
0.0,37,4454.153129228915,104454.15312922891
0.0,38,5099.6563062684145,105099.65630626841
0.0,39,5225.909451506654,105225.90945150665
0.0,40,6079.590830336645,106079.59083033665
0.0,41,6447.291994187035,106447.29199418704
0.0,42,6988.063980277468,106988.06398027747
0.0,43,5598.1967113757855,105598.19671137579
0.0,44,2878.3425600024057,102878.3425600024
68688.8683869729,45,1618.1620593721454,101618.16205937215
54230.77241457254,46,2058.689305079228,102058.68930507923
15838.69529598984,47,2231.7494158789923,102231.74941587899
15838.69529598984,48,2231.038627352653,102231.03862735265
15838.69529598984,49,2950.8025086208363,102950.80250862084
0.0,50,2784.568469944308,102784.56846994431
0.0,51,2405.849672228418,102405.84967222842
0.0,52,2790.733868374242,102790.73386837424
0.0,53,1400.239652636723,101400.23965263672
0.0,54,1877.357269618631,101877.35726961863
0.0,55,1934.7530440627743,101934.75304406277
0.0,56,1150.2396061821928,101150.2396061822
0.0,57,393.12929579184856,100393.12929579185
0.0,58,348.71844456213876,100348.71844456214
0.0,59,-274.50991431552393,99725.49008568448
0.0,60,-414.3477381904813,99585.65226180952
0.0,61,432.9714611498348,100432.97146114983
0.0,62,877.6694618875918,100877.66946188759
0.0,63,878.8000305819442,100878.80003058194
0.0,64,192.6797167462646,100192.67971674626
0.0,65,66.0496473297826,100066.04964732978
100011.04308062715,66,11.043080627146992,100011.04308062715
100011.04308062715,67,11.043080627146992,100011.04308062715
100011.04308062715,68,11.043080627146992,100011.04308062715
100011.04308062715,69,11.043080627146992,100011.04308062715
100011.04308062715,70,11.043080627146992,100011.04308062715
11.043080627146992,71,11.043080627146992,100011.04308062715
11.043080627146992,72,-629.7643111421639,99370.23568885784
11.043080627146992,73,-803.4495955982275,99196.55040440177
7.032473566212556,74,-976.7655119774863,99023.23448802251
7.032473566212556,75,-892.445199104317,99107.55480089568
7.032473566212556,76,-598.2402191163856,99401.75978088361
7.032473566212556,77,-2027.310726579235,97972.68927342076
7.032473566212556,78,-2485.059109364127,97514.94089063587
0.2749956438295422,79,-3026.7993614610605,96973.20063853894
0.2749956438295422,80,-3709.0343773799686,96290.96562262003
0.2749956438295422,81,-3388.0944048591045,96611.9055951409
0.2749956438295422,82,-2589.9131179368123,97410.08688206319
0.2749956438295422,83,-2610.1091953029536,97389.89080469705
0.2749956438295422,84,-1750.8648137934215,98249.13518620658
0.2749956438295422,85,-2595.283432871962,97404.71656712804
