Balance,step,profit,net_worth
100000.0,69417,0.0,100000.0
84070.32489776611,69418,0.0,100000.0
84070.32489776611,69419,4.181963837443618,100004.18196383744
37568.49348985725,69420,9.464292212913278,100009.46429221291
80872.77191494146,69421,-27.633665168017615,99972.36633483198
80872.77191494146,69422,-34.64914162601053,99965.35085837399
0.0,69423,-5.213458235040889,99994.78654176496
0.0,69424,46.327719804408844,100046.32771980441
0.0,69425,86.7839395715855,100086.78393957159
0.0,69426,85.22148915483558,100085.22148915484
0.0,69427,17.312211786585976,100017.31221178659
0.0,69428,80.36066728373407,100080.36066728373
0.0,69429,74.73320568616327,100074.73320568616
50613.480563458485,69430,74.04565863643074,100074.04565863643
50613.480563458485,69431,52.742567743494874,100052.7425677435
0.0,69432,42.125640298370854,100042.12564029837
0.0,69433,31.042805016462808,100031.04280501646
0.0,69434,-57.6114834054315,99942.38851659457
0.0,69435,-63.85015801356349,99936.14984198644
0.0,69436,46.57265064076637,100046.57265064077
0.0,69437,240.71036947343964,100240.71036947344
74550.4167434256,69438,262.6547816001257,100262.65478160013
0.0,69439,259.1370621997776,100259.13706219978
0.0,69440,180.33847408840666,100180.3384740884
0.0,69441,251.25671234609035,100251.25671234609
0.0,69442,295.27301956016163,100295.27301956016
30990.023387623296,69443,244.2288196743466,100244.22881967435
30990.023387623296,69444,221.9048052228609,100221.90480522286
27202.688422261777,69445,225.1188558590511,100225.11885585905
27202.688422261777,69446,242.43440890096826,100242.43440890097
27202.688422261777,69447,360.4178448630264,100360.41784486303
27202.688422261777,69448,436.7552381341666,100436.75523813417
27202.688422261777,69449,559.8522950515326,100559.85229505153
17940.61654700888,69450,396.0285622124211,100396.02856221242
17940.61654700888,69451,271.5515009306837,100271.55150093068
0.0,69452,293.02775454800576,100293.027754548
0.0,69453,170.30669719447906,100170.30669719448
0.0,69454,162.74735576352396,100162.74735576352
0.0,69455,272.3157319710881,100272.31573197109
0.0,69456,318.935302019192,100318.93530201919
0.0,69457,322.0445013404824,100322.04450134048
0.0,69458,420.05628993778373,100420.05628993778
0.0,69459,485.6082188754808,100485.60821887548
0.0,69460,532.4532780896552,100532.45327808966
0.0,69461,581.6236659190181,100581.62366591902
0.0,69462,518.5286355882708,100518.52863558827
0.0,69463,540.0919054866972,100540.0919054867
0.0,69464,645.7959006395104,100645.79590063951
0.0,69465,771.879066811307,100771.8790668113
0.0,69466,760.4520728586212,100760.45207285862
0.0,69467,760.3234564677841,100760.32345646778
0.0,69468,1078.0399450471014,101078.0399450471
0.0,69469,1182.2881371516705,101182.28813715167
0.0,69470,1249.6082751083595,101249.60827510836
0.0,69471,1258.8391994072445,101258.83919940724
0.0,69472,1329.4410866652324,101329.44108666523
0.0,69473,1274.0236278035882,101274.02362780359
101023.39720801117,69474,1023.3972080111707,101023.39720801117
101023.39720801117,69475,1023.3972080111707,101023.39720801117
101023.39720801117,69476,1023.3972080111707,101023.39720801117
42582.3066242099,69477,1023.3972080111707,101023.39720801117
42582.3066242099,69478,1132.0066429221915,101132.00664292219
0.0,69479,1145.0107923027826,101145.01079230278
0.0,69480,964.3107994806342,100964.31079948063
0.0,69481,1012.1691893080279,101012.16918930803
0.0,69482,994.973093473367,100994.97309347337
0.0,69483,901.2071857285628,100901.20718572856
100930.30359754161,69484,930.3035975416133,100930.30359754161
71123.82676610546,69485,930.3035975416133,100930.30359754161
71123.82676610546,69486,960.504976780896,100960.5049767809
71123.82676610546,69487,933.9595032917132,100933.95950329171
29907.389713615492,69488,942.1502304468595,100942.15023044686
29907.389713615492,69489,1077.3369384802645,101077.33693848026
29907.389713615492,69490,1093.1638616833952,101093.1638616834
29907.389713615492,69491,1103.996608266316,101103.99660826632
3.637978807091713e-12,69492,1142.259926969491,101142.25992696949
3.637978807091713e-12,69493,1543.9697695608338,101543.96976956083
3.637978807091713e-12,69494,1836.1461091786186,101836.14610917862
3.637978807091713e-12,69495,1833.8626050194143,101833.86260501941
3.637978807091713e-12,69496,1151.2314456553286,101151.23144565533
3.637978807091713e-12,69497,943.5384755150735,100943.53847551507
3.637978807091713e-12,69498,736.1537122142909,100736.15371221429
3.637978807091713e-12,69499,440.46407435178116,100440.46407435178
3.637978807091713e-12,69500,595.3443457323592,100595.34434573236
3.637978807091713e-12,69501,721.0598183757393,100721.05981837574
3.637978807091713e-12,69502,961.1232615147892,100961.12326151479
3.637978807091713e-12,69503,1077.6649454156432,101077.66494541564
3.637978807091713e-12,69504,1089.2772199972678,101089.27721999727
3.637978807091713e-12,69505,958.358051020623,100958.35805102062
3.637978807091713e-12,69506,804.7765375394083,100804.77653753941
3.637978807091713e-12,69507,822.7510639262327,100822.75106392623
3.637978807091713e-12,69508,693.798993212913,100693.79899321291
3.637978807091713e-12,69509,661.54269583727,100661.54269583727
3.637978807091713e-12,69510,204.58075347036356,100204.58075347036
33645.05382920279,69511,-114.18275762298435,99885.81724237702
22711.793457413238,69512,-88.11943204070849,99911.88056795929
22711.793457413238,69513,-18.43419551399711,99981.565804486
0.0,69514,-95.69169226157828,99904.30830773842
0.0,69515,-76.84115373516397,99923.15884626484
0.0,69516,97.8612172324647,100097.86121723246
0.0,69517,164.85848264710512,100164.8584826471
0.0,69518,31.464046878463705,100031.46404687846
0.0,69519,118.63164680810587,100118.6316468081
0.0,69520,167.98651853541378,100167.98651853541
0.0,69521,213.0196991367702,100213.01969913677
0.0,69522,128.1663516403496,100128.16635164035
0.0,69523,98.71779005460849,100098.71779005461
0.0,69524,167.90952926516184,100167.90952926516
0.0,69525,148.80283627656172,100148.80283627656
0.0,69526,109.46018889946572,100109.46018889947
0.0,69527,183.38451591205376,100183.38451591205
0.0,69528,303.56233966650325,100303.5623396665
0.0,69529,371.68750550471304,100371.68750550471
0.0,69530,404.365856925142,100404.36585692514
0.0,69531,389.12345924190595,100389.1234592419
0.0,69532,375.9502268656506,100375.95022686565
